BoardName;Ticker;AnnualReportDate;AUDCOMMEMB;INDAUDCOMMEMB;FINEXPMEMB;AUDCOMMEMBPRCNT;FINEXPMEMBPRCNT
VORNADO REALTY TRUST;VNO;01/12/2018;3;2;3;0,666666667;1
VULCAN MATERIALS CO;VMC;01/12/2018;4;4;2;1;0,5
WALLBRIDGE MINING CO LTD;WM;01/12/2018;2;2;0;1;0
WASTE MANAGEMENT INC;WM;01/12/2018;6;6;5;1;0,833333333
WATERS CORP;WAT;01/12/2018;4;4;4;1;1
WESTERN UNION CO;WU;01/12/2018;6;5;1;0,833333333;0,166666667
WEYERHAEUSER CO;WY;01/12/2018;5;4;2;0,8;0,4
WHIRLPOOL CORP;WHR;01/12/2018;6;6;1;1;0,166666667
WILLIAMS COMPANIES INC;WMB;01/12/2018;7;6;6;0,857142857;0,857142857
WPX ENERGY INC (De-listed 01/2021);WPX;01/12/2018;5;5;5;1;1
WW GRAINGER INC;GWW;01/12/2018;5;5;4;1;0,8
WYNN RESORTS LTD;WYNN;01/12/2018;7;7;4;1;0,571428571
XCEL ENERGY INC;XEL;01/12/2018;5;3;2;0,6;0,4
XEROX HOLDINGS CORP (Xerox Corp prior to 08/2019);XRX;01/12/2018;7;7;6;1;0,857142857
XYLEM INC;XYL;01/12/2018;5;5;2;1;0,4
YUM! BRANDS INC (Tricon Global Restaurants Inc prior to 05/2002);YUM;01/12/2018;6;6;1;1;0,166666667
ZIONS BANCORPORATION NA (Zions Bancorporation prior to 10/2018);ZION;01/12/2018;4;4;4;1;1
