BoardName;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;AUDCOMMEMB;INDAUDCOMMEMB;FINEXPMEMB;AUDCOMMEMBPRCNT;FINEXPMEMBPRCNT;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
CITIGROUP INC;3243;70519;17296742;C;31/12/2019;10;10;8;1;0,8;1,04;0,02;0,11;0,06;0,9;9,09
CATERPILLAR INC;2817;18542;14912310;CAT;31/12/2019;4;3;4;0,75;1;0,18;0,16;0,41;0,19;0,81;4,38
CERNER CORP (De-listed 06/2022);12850;10909;15678210;CERN;31/12/2019;5;3;1;0,6;0,2;0,21;0,23;0,11;0,16;0,37;0,6
CF INDUSTRIES HLDGS INC;163946;90829;12526910;CF;31/12/2019;5;2;5;0,4;1;0,4;0,14;0,12;0,13;0,54;2,26
CH ROBINSON WORLDWIDE INC;65609;85459;12541W20;CHRW;31/12/2019;5;4;5;0,8;1;0,16;0,2;0,35;0,25;0,64;1,78
THE CIGNA GROUP (Cigna Corp prior to 02/2023);2547;64186;12552310;CI;31/12/2019;4;2;3;0,5;0,75;0,72;0,08;0,1;0,11;0,71;2,43
CINCINNATI FINANCIAL CORP;14824;23473;17206210;CINF;31/12/2019;11;6;5;0,545454545;0,454545455;0,64;0,11;0,21;0,26;0,61;1,58
COLGATE-PALMOLIVE CO;3170;18729;19416210;CL;31/12/2019;5;5;5;1;1;0,01;0,31;;0,51;0,96;123,73
CLEVELAND-CLIFFS INC (Cliffs Natural Resources Inc prior to 08/2017);3107;27422;18589910;CLF;31/12/2019;5;5;3;1;0,6;0,16;0,15;0,09;0,18;0,9;8,79
COMERICA INC;3231;25081;20034010;CMA;31/12/2019;6;3;3;0,5;0,5;0,72;0,03;0,16;0,13;0,9;9,02
CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007);149070;89626;12572Q10;CME;31/12/2019;8;4;3;0,5;0,375;0,44;0,04;0,07;0,09;0,65;1,88
CHIPOTLE MEXICAN GRILL INC;165914;91068;16965610;CMG;31/12/2019;4;2;1;0,5;0,25;0,07;0,2;0,22;;0,67;2,03
CUMMINS INC;3650;41080;23102110;CMI;31/12/2019;6;4;1;0,666666667;0,166666667;0,29;0,16;0,29;0,25;0,57;1,5
CENTERPOINT ENERGY INC;5742;21792;15189T10;CNP;31/12/2019;4;4;1;1;0,25;0,77;0,09;0,08;0,08;0,76;3,24
CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);120093;86799;12653C10;CNX;31/12/2019;4;4;4;1;1;2,81;0,09;-0,02;0,03;0,45;0,99
CAPITAL ONE FINANCIAL CORP;30990;81055;14040H10;COF;31/12/2019;5;5;2;1;0,4;1,13;0,03;0,11;0,08;0,85;5,72
CSX CORP;2574;62148;12640810;CSX;31/12/2019;6;4;2;0,666666667;0,333333333;0,34;0,17;0,18;0,17;0,69;2,23
COGNIZANT TECHNOLOGY SOLUTIONS CORP;111864;86158;19244610;CTSH;31/12/2019;8;7;3;0,875;0,375;0,33;0,21;0,16;0,23;0,32;0,47
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);7241;17005;12665010;CVS;31/12/2019;6;3;5;0,5;0,833333333;0,74;0,08;0,1;0,09;0,71;2,48
CHEVRON CORP;2991;14541;16676410;CVX;31/12/2019;4;4;4;1;1;0,7;0,12;0,02;0;0,39;0,64
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);4029;64936;25746U10;D;31/12/2019;6;6;6;1;1;0,52;0,09;0,04;0,09;0,67;2,18
DUPONT DE NEMOURS INC (Dowdupont Inc prior to 06/2019);4060;16851;26614N10;DD;31/12/2019;11;11;7;1;0,636363636;0,94;0,04;-0,01;0,03;0,4;0,68
DISCOVER FINANCIAL SERVICES INC;177376;92121;25470910;DFS;31/12/2019;4;4;4;1;1;0,43;0,04;0,27;0,13;0,9;8,61
DANAHER CORP;3735;49680;23585110;DHR;31/12/2019;4;1;3;0,25;0,75;0,27;0,08;0,09;0,08;0,51;1,05
DOVER CORP;4058;25953;26000310;DOV;31/12/2019;4;4;4;1;1;0,2;0,16;0,21;0,17;0,65;1,86
DOW INC;34443;18428;26055710;DOW;31/12/2019;5;5;5;1;1;0,34;0,09;-0,09;0,09;0,77;3,43
DTE ENERGY CO;3897;11674;23333110;DTE;31/12/2019;4;3;2;0,75;0,5;0,57;0,08;0,09;0,06;0,72;2,57
DUKE ENERGY CORP;4093;27959;26441C20;DUK;31/12/2019;7;5;7;0,714285714;1;0,81;0,07;0,07;0,05;0,7;2,37
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);61483;82307;23918K10;DVA;31/12/2019;3;3;2;1;0,666666667;0,29;0,13;0,2;0,13;0,8;6,47
DEVON ENERGY CORP;14934;87137;25179M10;DVN;31/12/2019;5;2;1;0,4;0,2;0,62;0,1;-0,01;0,01;0,57;1,34
EBAY INC;114524;86356;27864210;EBAY;31/12/2019;3;2;1;0,666666667;0,333333333;0,19;0,15;0,24;0,18;0,84;5,33
ECOLAB INC;4213;70578;27886510;ECL;31/12/2019;6;6;4;1;0,666666667;0,17;0,16;0,17;0,15;0,58;1,4
CONSOLIDATED EDISON INC;3413;11404;20911510;ED;31/12/2019;5;4;4;0,8;0,8;0,8;0,08;0,06;0,07;0,69;2,21
EQUIFAX INC;4423;52476;29442910;EFX;31/12/2019;4;4;4;1;1;0,17;0,11;-0,13;0,09;0,67;2,05
EDISON INTERNATIONAL;9846;15720;28102010;EIX;31/12/2019;5;5;4;1;0,8;0,67;0,06;0,08;0,07;0,76;3,15
EASTMAN CHEMICAL CO;29392;80080;27743210;EMN;31/12/2019;5;3;3;0,6;0,6;0,64;0,12;0,11;0,11;0,62;1,67
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);16478;75825;26875P10;EOG;31/12/2019;8;4;3;0,5;0,375;0,55;0,21;0,11;0,13;0,42;0,72
EQT CORP (Equitable Resources Inc prior to 02/2009);4430;24328;26884L10;EQT;31/12/2019;7;7;4;1;0,571428571;4,06;0,09;-0,1;0,01;0,48;0,92
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);63501;83862;26924640;ETFC;31/12/2019;6;5;2;0,833333333;0,333333333;0,61;0,03;0,16;0,2;0,89;8,37
ENTERGY CORP;7366;24010;29364G10;ETR;31/12/2019;5;5;2;1;0,4;0,62;0,07;0,09;0,06;0,8;3,94
EDWARDS LIFESCIENCES CORP;133366;87657;28176E10;EW;31/12/2019;3;2;3;0,666666667;1;0,09;0,23;0,29;0,3;0,36;0,56
EXELON CORP;8539;21776;30161N10;EXC;31/12/2019;5;4;5;0,8;1;1,01;0,07;0,07;0,07;0,72;2,81
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;4494;87717;30213010;EXPD;31/12/2019;5;5;2;1;0,4;0,17;0,23;0,28;0,34;0,4;0,68
EXPEDIA GROUP INC (Expedia Inc prior to 03/2018);126296;90808;30212P30;EXPE;31/12/2019;3;2;2;0,666666667;0,666666667;0,26;0,09;0,14;0,11;0,74;4
FORD MOTOR CO;4839;25785;34537086;F;31/12/2019;5;3;2;0,6;0,4;0,91;0,06;0;0,03;0,87;6,79
FASTENAL CO;14225;11618;31190010;FAST;31/12/2019;6;5;3;0,833333333;0,5;0,13;0,34;0,31;0,35;0,3;0,43
FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);14590;81774;35671D85;FCX;31/12/2019;5;5;2;1;0,4;0,71;0,06;-0,02;0,04;0,57;2,51
FIRSTENERGY CORP;8099;23026;33793210;FE;31/12/2019;6;6;5;1;0,833333333;0,37;0,09;0,1;0,09;0,84;5,06
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);4737;36397;32051710;FHN;31/12/2019;7;6;2;0,857142857;0,285714286;0,91;0,02;0,1;0,12;0,88;8
FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006);165993;89003;31620M10;FIS;31/12/2019;7;6;5;0,857142857;0,714285714;0,63;0,07;0,01;0,04;0,41;0,69
FIFTH THIRD BANCORP;4640;34746;31677310;FITB;31/12/2019;6;3;1;0,5;0,166666667;0,93;0,03;0,14;0,11;0,87;6,99
FLIR SYSTEMS INC (De-listed 05/2021);28477;79265;30244510;FLIR;31/12/2019;5;2;5;0,4;1;0,28;0,15;0,09;0,14;0,4;0,68
FLUOR CORP;4818;88853;34341210;FLR;31/12/2019;7;7;3;1;0,428571429;0,59;-0,06;-0,74;-0,14;0,8;4,29
FLOWSERVE CORP;4108;30940;34354P10;FLS;31/12/2019;6;5;2;0,833333333;0,333333333;0,3;0,11;0,14;0,13;0,63;1,73
FMC CORP;4510;19166;30249130;FMC;31/12/2019;4;2;2;0,5;0,5;0,22;0,12;0,17;0,18;0,74;2,89
FOSSIL GROUP INC (Fossil Inc prior to 05/2013);28118;79089;34988V10;FOSL;31/12/2019;4;4;4;1;1;1,27;0,05;-0,1;0,02;0,69;2,19
FIRST SOLAR INC;175404;91611;33643310;FSLR;31/12/2019;5;3;1;0,6;0,2;0,86;0,06;-0,02;0,04;0,32;0,47
GANNETT CO INC (New Media Investment Group Inc prior to 11/2019);19574;14490;36472T10;GCI;31/12/2019;5;5;1;1;0,2;1,2;0,07;-0,14;0,04;0,76;3,09
GENERAL DYNAMICS CORP;5046;12052;36955010;GD;31/12/2019;7;4;4;0,571428571;0,571428571;0,28;0,11;0,26;0,18;0,72;2,6
GILEAD SCIENCES INC;24856;77274;37555810;GILD;31/12/2019;3;2;2;0,666666667;0,666666667;0,27;0,1;0,25;0,11;0,63;1,73
CORNING INC;3532;22293;21935010;GLW;31/12/2019;8;7;5;0,875;0,625;0,49;0,12;0,08;0,1;0,55;1,23
GENWORTH FINANCIAL INC;158354;90162;37247D10;GNW;31/12/2019;4;2;4;0,5;1;6,4;0,01;0,03;0,05;0,86;6,11
GENUINE PARTS CO;5125;46674;37246010;GPC;31/12/2019;6;4;5;0,666666667;0,833333333;0,25;0,1;0,16;0,15;0,75;2,98
GOLDMAN SACHS GROUP INC;114628;86868;38141G10;GS;31/12/2019;4;4;1;1;0,25;0,95;0,03;0,11;0,04;0,91;9,98
GOODYEAR TIRE & RUBBER CO;5234;16432;38255010;GT;31/12/2019;6;5;2;0,833333333;0,333333333;1,23;0,09;-0,07;0,08;0,74;2,91
WW GRAINGER INC;5256;52695;38480210;GWW;31/12/2019;5;5;4;1;0,8;0,11;0,27;0,43;0,33;0,66;2,13
HALLIBURTON CO;5439;23819;40621610;HAL;31/12/2019;6;3;5;0,5;0,833333333;0,37;0,14;-0,13;0,1;0,68;2,17
HASBRO INC;5518;52978;41805610;HAS;31/12/2019;6;6;5;1;0,833333333;0,21;0,12;0,22;0,13;0,66;1,96
HUNTINGTON BANCSHARES INC;5786;42906;44615010;HBAN;31/12/2019;3;2;3;0,666666667;1;0,7;0,02;0,14;0,09;0,89;8,24
HESS CORP (Amerada Hess prior to 05/2006);1380;28484;42809H10;HES;31/12/2019;5;5;2;1;0,4;0,45;0,13;-0,04;0,04;0,55;1,38
HARTFORD FINANCIAL SERVICES GROUP INC;61739;82775;41651510;HIG;31/12/2019;5;4;5;0,8;1;0,73;0,05;0,15;0,14;0,77;3,35
HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000);1300;10145;43851610;HON;31/12/2019;6;5;3;0,833333333;0,5;0,16;0,15;0,31;0,21;0,68;2,16
HERSHEY CO (THE);5597;16600;42786610;HSY;31/12/2019;6;6;2;1;0,333333333;0,06;0,25;0,65;0,28;0,79;3,68
HUMANA INC;27914;48653;44485910;HUM;31/12/2019;3;1;2;0,333333333;0,666666667;0,26;0,14;0,24;0,19;0,59;1,42
INTERNATIONAL BUSINESS MACHINES (IBM) CORP;6066;12490;45920010;IBM;31/12/2019;5;4;5;0,8;1;0,22;0,12;0,41;0,14;0,86;6,3
INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014);163610;90993;45866F10;ICE;31/12/2019;4;3;2;0,75;0,5;0,38;0,04;0,1;0,11;0,82;4,47
INTERNATIONAL FLAVORS & FRAGRANCES INC;6078;40272;45950610;IFF;31/12/2019;4;4;4;1;1;0,5;0,08;0,07;0,07;0,52;1,12
INTEL CORP;6008;59328;45814010;INTC;31/12/2019;4;3;2;0,75;0,5;0,31;0,25;0,27;0,22;0,43;0,76
INTERPUBLIC GROUP OF COMPANIES INC;6136;53065;46069010;IPG;31/12/2019;8;6;8;0,75;1;0,34;0,08;0,23;0,16;0,83;5,32
INTUITIVE SURGICAL INC;136725;88352;46120E60;ISRG;31/12/2019;4;2;1;0,5;0,25;0,12;0,18;0,18;0,18;0,15;0,18
ILLINOIS TOOL WORKS INC (ITW);5878;56573;45230810;ITW;31/12/2019;5;5;2;1;0,4;0,06;0,26;0,66;0,32;0,8;3,98
JOHNSON & JOHNSON;6266;22111;47816010;JNJ;31/12/2019;4;3;1;0,75;0,25;0,17;0,18;0,23;0,24;0,62;1,65
JUNIPER NETWORKS INC;121718;86979;48203R10;JNPR;31/12/2019;5;5;4;1;0,8;0,56;0,08;0,07;0,07;0,48;0,92
JPMORGAN CHASE & CO;2968;47896;46625H10;JPM;31/12/2019;4;4;4;1;1;0,56;0,03;0,15;0,08;0,9;9,28
KELLANOVA CO (Kellogg Co prior to 10/2023);6375;26825;48783610;K;31/12/2019;5;5;2;1;0,4;0,14;0,13;0,29;0,15;0,81;5,19
KEYCORP;9783;64995;49326710;KEY;31/12/2019;4;3;2;0,75;0,5;0,77;0,02;0,12;0,11;0,88;7,51
KIMBERLY-CLARK CORP;6435;17750;49436810;KMB;31/12/2019;8;5;8;0,625;1;;0,28;;0,43;0,99;-456,36
KINDER MORGAN INC (Kinder Morgan Holdco LLC prior to 02/2011);6310;12558;49456B10;KMI;31/12/2019;5;5;4;1;0,8;0,7;0,08;0,06;0,06;0,53;1,16
COCA-COLA CO;3144;11308;19121610;KO;31/12/2019;4;4;2;1;0,5;0,09;0,14;0,44;0,17;0,76;3,44
LOEWS CORP;6781;26710;54042410;L;31/12/2019;6;0;2;0;0,333333333;1,33;0,03;0,05;0,05;0,73;3,15
LEGGETT & PLATT INC;6649;60943;52466010;LEG;31/12/2019;8;6;6;0,75;0,75;0,23;0,17;0,24;0,18;0,73;2,67
ATYR PHARMA INC;23627;15378;00212020;LIFE;31/12/2019;4;4;1;1;0,25;1,31;-0,5;-0,86;-0,56;0,42;0,72
ELI LILLY & CO;6730;50876;53245710;LLY;31/12/2019;6;5;3;0,833333333;0,5;0,04;0,17;0,63;0,29;0,93;14,03
LOCKHEED MARTIN CORP;6774;21178;53983010;LMT;31/12/2019;6;6;5;1;0,833333333;0,03;0,21;2,66;0,52;0,93;14,19
LINCOLN NATIONAL CORP;6742;49015;53418710;LNC;31/12/2019;5;3;1;0,6;0,2;1,91;0;0,05;0,06;0,94;16
SOUTHWEST AIRLINES CO;9882;58683;84474110;LUV;31/12/2019;5;3;5;0,6;1;0,44;0,16;0,19;0,23;0,62;1,63
MASTERCARD INC;160225;91233;57636Q10;MA;31/12/2019;6;6;2;1;0,333333333;0,02;0,38;1,42;0,72;0,8;3,94
MARRIOTT INTERNATIONAL INC;28930;85913;57190320;MAR;31/12/2019;6;5;5;0,833333333;0,833333333;0,02;0,1;0,69;0,17;0,97;34,63
MASCO CORP;7085;34032;57459910;MAS;31/12/2019;8;7;7;0,875;0,875;;0,24;;0,4;1,01;-21,63
MATTEL INC;7116;39538;57708110;MAT;31/12/2019;4;3;4;0,75;1;0,12;0,07;-0,34;0,04;0,91;9,83
MOODYS CORP;139665;48506;61536910;MCO;31/12/2019;9;8;8;0,888888889;0,888888889;0,02;0,23;2,08;0,32;0,92;15,41
METLIFE INC;133768;87842;59156R10;MET;31/12/2019;7;6;4;0,857142857;0,571428571;1,54;0,01;0,09;0,1;0,91;9,69
MARSH & MCLENNAN COMPANIES INC;7065;45751;57174810;MMC;31/12/2019;6;6;4;1;0,666666667;0,15;0,15;0,21;0,19;0,75;3
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);7435;22592;88579Y10;MMM;31/12/2019;6;6;5;1;0,833333333;0,1;0,21;0,45;0,25;0,77;3,43
MONSTER BEVERAGE CORP (Hansen Natural Corp prior to 12/2011);24316;88031;61174X10;MNST;31/12/2019;5;2;2;0,4;0,4;0,12;0,31;0,28;0,36;0,19;0,23
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003);8543;13901;02209S10;MO;31/12/2019;5;3;2;0,6;0,4;0,12;0,21;-0,08;0,28;0,87;6,9
MOSAIC CO;162129;90386;61945C10;MOS;31/12/2019;8;7;3;0,875;0,375;1,25;0,07;-0,1;0,03;0,51;1,08
MARATHON PETROLEUM CORP;186989;12872;56585A10;MPC;31/12/2019;6;6;2;1;0,333333333;1,03;0,1;0,07;0,1;0,56;1,65
MERCK & CO INC (Schering-Plough Corp prior to 11/2009);7257;22752;58933Y10;MRK;31/12/2019;5;4;2;0,8;0,4;0,12;0,22;0,35;0,28;0,69;2,25
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);12124;69032;61744644;MS;31/12/2019;4;4;3;1;0,75;0,9;0,03;0,13;0,05;0,91;9,97
MOTOROLA SOLUTIONS INC;7585;22779;62007630;MSI;31/12/2019;3;3;3;1;1;;0,2;;0,36;1,06;-16,18
M&T BANK CORP;4699;35554;55261F10;MTB;31/12/2019;5;5;3;1;0,6;0,65;0,03;0,13;0,14;0,87;6,63
MURPHY OIL CORP;7620;28345;62671710;MUR;31/12/2019;4;2;1;0,5;0,25;1,38;0,15;0,02;0,06;0,5;1,08
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);7912;61815;65504410;NBL;31/12/2019;5;3;1;0,6;0,2;0,75;0,02;-0,15;-0,11;0,56;1,37
NASDAQ INC (NASDAQ OMX Group Inc prior to 09/2015);149337;90601;63110310;NDAQ;31/12/2019;6;4;4;0,666666667;0,666666667;0,35;0,09;0,13;0,12;0,6;1,47
NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010);4517;24205;65339F10;NEE;31/12/2019;6;6;2;1;0,333333333;0,38;0,09;0,09;0,07;0,64;2,05
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);7881;21207;65163910;NEM;31/12/2019;5;5;4;1;0,8;0,68;0,12;0,16;0,07;0,44;0,82
NETFLIX INC;147579;89393;64110L10;NFLX;31/12/2019;3;0;1;0;0,333333333;0,05;0,09;0,29;0,13;0,78;3,48
NISOURCE INC (NIPSCO Industries Inc prior to 04/1999);7974;38762;65473P10;NI;31/12/2019;6;6;4;1;0,666666667;0,62;0,08;0,06;0,07;0,74;2,79
NORTHROP GRUMMAN CORP;7985;24766;66680710;NOC;31/12/2019;5;5;3;1;0,6;0,15;0,13;0,26;0,17;0,79;3,66
NOV INC (National Oilwell Varco Inc prior to 01/2021);63892;84032;63707110;NOV;31/12/2019;4;3;4;0,75;1;0,82;0;-0,55;-0,03;0,4;0,68
NRG ENERGY INC;135990;90071;62937750;NRG;31/12/2019;4;4;3;1;0,75;0,17;0,15;;0,2;0,87;6,55
NORFOLK SOUTHERN CORP;7923;64311;65584410;NSC;31/12/2019;6;5;6;0,833333333;1;0,44;0,14;0,12;0,14;0,6;1,5
NORTHERN TRUST CORP;7982;58246;66585910;NTRS;31/12/2019;6;5;5;0,833333333;0,833333333;0,46;0,03;0,15;0,14;0,92;11,34
NUCOR CORP;8030;34817;67034610;NUE;31/12/2019;7;5;1;0,714285714;0,142857143;0,64;0,15;0,12;0,13;0,41;0,73
NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016);7875;60986;65122910;NWL;31/12/2019;5;4;3;0,8;0,6;0,69;0,08;0,03;0,07;0,68;2,14
O-I GLASS INC (Owens-Illinois Inc prior to 12/2019);8215;77157;67098H10;OI;31/12/2019;5;5;3;1;0,6;0,31;0,12;-0,54;0,11;0,94;19,37
ONEOK INC (WAI Inc prior to 11/1997);8151;25232;68268010;OKE;31/12/2019;4;3;4;0,75;1;0,22;0,12;0,19;0,11;0,71;2,5
OMNICOM GROUP INC;4066;30681;68191910;OMC;31/12/2019;5;4;5;0,8;1;0,19;0,09;0,43;0,25;0,87;8,13
O'REILLY AUTOMOTIVE INC;28180;79103;67103H10;ORLY;31/12/2019;6;3;1;0,5;0,166666667;0,02;0,23;2,81;0,38;0,96;25,97
OCCIDENTAL PETROLEUM CORP;8068;34833;67459910;OXY;31/12/2019;6;5;5;0,833333333;0,833333333;0,93;0,13;-0,02;0,08;0,69;2,19
PITNEY BOWES INC;8606;24459;72447910;PBI;31/12/2019;6;4;4;0,666666667;0,666666667;0,82;0,07;0,07;0,07;0,95;18,11
PACCAR INC;8253;60506;69371810;PCAR;31/12/2019;4;4;4;1;1;0,38;0,16;0,24;0,16;0,66;1,92
PG&E CORP;8264;13688;69331C10;PCG;31/12/2019;7;7;4;1;0,571428571;0,95;0,08;-0,71;0,14;0,94;14,81
PUBLIC SERVICE ENTERPRISE GROUP INC;8810;23712;74457310;PEG;31/12/2019;7;7;5;1;0,714285714;0,72;0,07;0,08;0,06;0,68;2,16
PEPSICO INC;8479;13856;71344810;PEP;31/12/2019;5;5;4;1;0,8;0,1;0,17;0,4;0,22;0,81;4,31
PFIZER INC;8530;21936;71708110;PFE;31/12/2019;5;5;4;1;0,8;0,32;0,12;0,24;0,13;0,62;1,65
PRINCIPAL FINANCIAL GROUP INC;145701;89195;74251V10;PFG;31/12/2019;6;5;1;0,833333333;0,166666667;1,08;0,01;0,1;0,1;0,95;17,86
PROGRESSIVE CORP (OHIO);13341;64390;74331510;PGR;31/12/2019;3;1;3;0,333333333;1;0,31;0,11;0,34;0,33;0,75;3
PULTEGROUP INC;8823;54148;74586710;PHM;31/12/2019;5;5;4;1;0,8;0,52;0,13;0,2;0,16;0,49;0,96
PARKLAND CORP (Parkland Fuel Corp prior to 05/2020);4145;42200;71404610;PKI;31/12/2019;3;3;0;1;0;0,28;0,1;0,08;0,09;0,57;1,32
PHILIP MORRIS INTERNATIONAL INC;179621;92602;71817210;PM;31/12/2019;6;5;1;0,833333333;0,166666667;;0,3;;0,59;1,22;-4,53
PNC FINANCIAL SERVICES GROUP INC;8245;60442;69347510;PNC;31/12/2019;6;5;5;0,833333333;0,833333333;0,69;0,02;0,11;0,08;0,88;7,32
PINNACLE WEST CAPITAL CORP;1075;27991;72348410;PNW;31/12/2019;6;2;2;0,333333333;0,333333333;0,75;0,07;0,07;0,06;0,7;2,38
PPG INDUSTRIES INC;8247;22509;69350610;PPG;31/12/2019;6;5;6;0,833333333;1;0,18;0,15;0,23;0,19;0,69;2,33
PPL CORP;8455;22517;69351T10;PPL;31/12/2019;7;7;6;1;0,857142857;0,59;0,09;0,11;0,08;0,72;2,52
PRUDENTIAL FINANCIAL INC;143356;89258;74432010;PRU;31/12/2019;3;2;3;0,666666667;1;1,69;0,01;0,07;0,08;0,93;13,2
QUANTA SERVICES INC;66446;85792;74762E10;PWR;31/12/2019;3;3;3;1;1;0,74;0,13;0,1;0,13;0,51;1,06
PIONEER NATURAL RESOURCES CO (De-listed 05/2024);14359;75241;72378710;PXD;31/12/2019;6;6;3;1;0,5;0,54;0,19;0,06;0,12;0,36;0,57
QEP RESOURCES INC (De-listed 03/2021);154357;93422;74733V10;QEP;31/12/2019;6;6;6;1;1;2,74;0,13;-0,03;0,04;0,51;1,06
RYDER SYSTEM INC;9299;27633;78354910;R;31/12/2019;6;4;6;0,666666667;1;1,26;0,16;-0,01;0,03;0,83;4,85
