BoardName;Global Company Key;Historical CRSP PERMNO Link to COMPUSTAT Record;CUSIP;Ticker;Fiscal year end;AUDCOMMEMB;INDAUDCOMMEMB;FINEXPMEMB;AUDCOMMEMBPRCNT;FINEXPMEMBPRCNT;Book/Market;Return on Assets;Return on Equity;Return on Capital Employed;Total Debt/Total Assets;Total Debt/Equity
BRISTOL-MYERS SQUIBB CO;2403;19393;11012210;BMY;31/12/2018;6;6;6;1;1;0,17;0,17;0,38;0,25;0,6;1,49
BOSTON SCIENTIFIC CORP;25279;77605;10113710;BSX;31/12/2018;5;5;5;1;1;0,19;0,14;0,21;0,13;0,58;1,41
PEABODY ENERGY CORP;142460;16689;70455110;BTU;31/12/2018;3;3;3;1;1;1,01;0,17;0,2;0,13;0,54;1,17
BORGWARNER INC;28742;79545;09972410;BWA;31/12/2018;5;3;3;0,6;0,6;0,59;0,17;0,23;0,21;0,57;1,36
CITIGROUP INC;3243;70519;17296742;C;31/12/2018;7;7;5;1;0,714285714;1,44;0,02;0,1;0,05;0,9;8,77
CATERPILLAR INC;2817;18542;14912310;CAT;31/12/2018;4;3;4;0,75;1;0,2;0,16;0,43;0,19;0,82;4,59
CERNER CORP (De-listed 06/2022);12850;10909;15678210;CERN;31/12/2018;5;3;1;0,6;0,2;0,31;0,22;0,12;0,15;0,27;0,36
CF INDUSTRIES HLDGS INC;163946;90829;12526910;CF;31/12/2018;6;4;5;0,666666667;0,833333333;0,42;0,12;0,07;0,09;0,55;2,34
CH ROBINSON WORLDWIDE INC;65609;85459;12541W20;CHRW;31/12/2018;6;5;6;0,833333333;1;0,14;0,23;0,43;0,31;0,64;1,78
THE CIGNA GROUP (Cigna Corp prior to 02/2023);2547;64186;12552310;CI;31/12/2018;6;6;4;1;0,666666667;0,7;0,05;0,08;0,09;0,73;2,73
CINCINNATI FINANCIAL CORP;14824;23473;17206210;CINF;31/12/2018;9;5;4;0,555555556;0,444444444;0,67;0,02;0,03;0,03;0,64;1,8
COLGATE-PALMOLIVE CO;3170;18729;19416210;CL;31/12/2018;5;4;5;0,8;1;;0,35;;0,6;0,98;-117,29
CLEVELAND-CLIFFS INC (Cliffs Natural Resources Inc prior to 08/2017);3107;27422;18589910;CLF;31/12/2018;4;4;3;1;0,75;0,19;0,23;;0,3;0,88;7,32
COMERICA INC;3231;25081;20034010;CMA;31/12/2018;5;2;2;0,4;0,4;0,68;0,03;0,16;0,15;0,89;8,43
CME GROUP INC (Chicago Mercantile Exchange Holdings Inc prior to 07/2007);149070;89626;12572Q10;CME;31/12/2018;7;3;2;0,428571429;0,285714286;0,47;0,04;0,07;0,09;0,66;1,99
CHIPOTLE MEXICAN GRILL INC;165914;91068;16965610;CMG;31/12/2018;3;2;1;0,666666667;0,333333333;0,12;0,26;0,13;;;
CUMMINS INC;3650;41080;23102110;CMI;31/12/2018;6;5;1;0,833333333;0,166666667;0,36;0,16;0,28;0,25;0,57;1,47
CENTERPOINT ENERGY INC;5742;21792;15189T10;CNP;31/12/2018;7;6;1;0,857142857;0,142857143;0,68;0,09;0,04;0,06;0,7;2,35
CNX RESOURCES CORP (CONSOL Energy Inc prior to 11/2017);120093;86799;12653C10;CNX;31/12/2018;3;3;3;1;1;2,08;0,13;0,18;0,08;0,41;0,81
CAPITAL ONE FINANCIAL CORP;30990;81055;14040H10;COF;31/12/2018;4;4;2;1;0,5;1,33;0,03;0,13;0,08;0,86;6,2
CSX CORP;2574;62148;12640810;CSX;31/12/2018;6;4;3;0,666666667;0,5;0,38;0,17;0,16;0,18;0,66;1,92
COGNIZANT TECHNOLOGY SOLUTIONS CORP;111864;86158;19244610;CTSH;31/12/2018;6;5;2;0,833333333;0,333333333;0,32;0,22;0,19;0,25;0,28;0,39
CVS HEALTH CORP (CVS Caremark Corp prior to 09/2014);7241;17005;12665010;CVS;31/12/2018;7;4;5;0,571428571;0,714285714;0,78;0,09;-0,01;0,11;0,7;2,37
CHEVRON CORP;2991;14541;16676410;CVX;31/12/2018;5;5;5;1;1;0,82;0,13;0,09;0,08;0,39;0,64
DOMINION ENERGY INC (Dominion Resources Inc (Virginia) prior to 05/2017);4029;64936;25746U10;D;31/12/2018;7;7;6;1;0,857142857;0,52;0,08;0,1;0,08;0,72;2,78
DEAN FOODS CO (Suiza Foods prior to 12/2001) (De-listed 11/2019);62655;83421;24237020;DF;31/12/2018;4;4;4;1;1;0,91;0,05;-0,64;-0,02;0,85;5,95
DISCOVER FINANCIAL SERVICES INC;177376;92121;25470910;DFS;31/12/2018;4;4;4;1;1;0,54;0,04;0,26;0,12;0,9;8,84
DANAHER CORP;3735;49680;23585110;DHR;31/12/2018;3;1;3;0,333333333;1;0,39;0,1;0,1;0,09;0,41;0,69
DOVER CORP;4058;25953;26000310;DOV;31/12/2018;6;6;6;1;1;0,3;0,12;0,15;0,13;0,67;2,02
DTE ENERGY CO;3897;11674;23333110;DTE;31/12/2018;5;3;4;0,6;0,8;0,62;0,08;0,09;0,07;0,7;2,5
DUKE ENERGY CORP;4093;27959;26441C20;DUK;31/12/2018;5;3;4;0,6;0,8;0,83;0,06;0,05;0,05;0,7;2,32
DAVITA INC (DaVita HealthCare Partners Inc prior to 09/2016);61483;82307;23918K10;DVA;31/12/2018;4;4;3;1;0,75;0,5;0,11;0,13;0,11;0,74;3,8
DEVON ENERGY CORP;14934;87137;25179M10;DVN;31/12/2018;4;3;1;0,75;0,25;0,99;0,13;0,08;0,09;0,53;1,13
EBAY INC;114524;86356;27864210;EBAY;31/12/2018;3;2;1;0,666666667;0,333333333;0,36;0,12;0,24;0,14;0,72;2,63
ECOLAB INC;4213;70578;27886510;ECL;31/12/2018;8;8;5;1;0,625;0,21;0,15;0,17;0,14;0,6;1,5
CONSOLIDATED EDISON INC;3413;11404;20911510;ED;31/12/2018;7;6;5;0,857142857;0,714285714;0,92;0,08;0,06;0,07;0,69;2,22
EQUIFAX INC;4423;52476;29442910;EFX;31/12/2018;6;6;6;1;1;0,3;0,16;0,09;0,14;0,56;1,29
EDISON INTERNATIONAL;9846;15720;28102010;EIX;31/12/2018;6;6;5;1;0,833333333;0,81;0,07;-0,02;0,08;0,78;3,48
EASTMAN CHEMICAL CO;29392;80080;27743210;EMN;31/12/2018;6;4;4;0,666666667;0,666666667;0,65;0,13;0,17;0,13;0,63;1,74
EOG RESOURCES INC (Enron Oil & Gas Co prior to 09/1999);16478;75825;26875P10;EOG;31/12/2018;7;2;3;0,285714286;0,428571429;0,47;0,25;0,16;0,18;0,43;0,75
EQT CORP (Equitable Resources Inc prior to 02/2009);4430;24328;26884L10;EQT;31/12/2018;6;5;3;0,833333333;0,5;2,66;0,09;-0,17;0,03;0,47;0,89
E*TRADE FINANCIAL CORP (E Trade Group prior to 10/2003) (De-listed 10/2020);63501;83862;26924640;ETFC;31/12/2018;6;5;1;0,833333333;0,166666667;0,55;0,03;0,17;0,2;0,9;8,89
ENTERGY CORP;7366;24010;29364G10;ETR;31/12/2018;5;4;2;0,8;0,4;0,81;0,06;0,07;0,04;0,81;4,33
EDWARDS LIFESCIENCES CORP;133366;87657;28176E10;EW;31/12/2018;3;3;3;1;1;0,1;0,2;0,24;0,27;0,41;0,7
EXELON CORP;8539;21776;30161N10;EXC;31/12/2018;6;4;6;0,666666667;1;0,96;0,07;0,05;0,07;0,72;2,81
EXPEDITORS INTERNATIONAL OF WASHINGTON INC;4494;87717;30213010;EXPD;31/12/2018;5;5;1;1;0,2;0,17;0,26;0,31;0,4;0,4;0,67
EXPEDIA GROUP INC (Expedia Inc prior to 03/2018);126296;90808;30212P30;EXPE;31/12/2018;3;1;2;0,333333333;0,666666667;0,25;0,1;0,09;0,09;0,68;3,01
FORD MOTOR CO;4839;25785;34537086;F;31/12/2018;4;2;2;0,5;0,5;1,2;0,07;0,1;0,04;0,86;6,14
FASTENAL CO;14225;11618;31190010;FAST;31/12/2018;4;3;2;0,75;0,5;0,16;0,36;0,33;0,38;0,31;0,44
FREEPORT-MCMORAN INC (Freeport-McMoRan Copper & Gold Inc prior to 07/2014);14590;81774;35671D85;FCX;31/12/2018;5;5;3;1;0,6;0,93;0,17;0,21;0,23;0,58;2,48
FIRSTENERGY CORP;8099;23026;33793210;FE;31/12/2018;5;5;3;1;0,6;0,48;0,09;0,14;0,1;0,83;4,83
FIRST HORIZON CORP (First Horizon National Corp prior to 11/2020);4737;36397;32051710;FHN;31/12/2018;7;6;1;0,857142857;0,142857143;1,05;0,03;0,13;0,14;0,88;8,03
FIDELITY NATIONAL INFORMATION SERVICES INC (Certegy Inc prior to 02/2006);165993;89003;31620M10;FIS;31/12/2018;4;2;3;0,5;0,75;0,35;0,13;0,07;0,09;0,57;1,33
FIFTH THIRD BANCORP;4640;34746;31677310;FITB;31/12/2018;6;3;1;0,5;0,166666667;1,02;0,02;0,14;0,1;0,89;7,99
FLIR SYSTEMS INC (De-listed 05/2021);28477;79265;30244510;FLIR;31/12/2018;5;2;5;0,4;1;0,32;0,16;0,15;0,17;0,33;0,48
FLUOR CORP;4818;88853;34341210;FLR;31/12/2018;7;7;3;1;0,428571429;0,66;0,07;0,07;0,08;0,65;1,96
FLOWSERVE CORP;4108;30940;34354P10;FLS;31/12/2018;4;3;2;0,75;0,5;0,36;0,1;0,07;0,11;0,64;1,8
FMC CORP;4510;19166;30249130;FMC;31/12/2018;5;3;2;0,6;0,4;0,35;0,13;0,2;0,19;0,68;2,17
FOSSIL GROUP INC (Fossil Inc prior to 05/2013);28118;79089;34988V10;FOSL;31/12/2018;4;4;2;1;0,5;0,75;0,11;-0,01;0,12;0,63;1,68
FIRST SOLAR INC;175404;91611;33643310;FSLR;31/12/2018;6;4;2;0,666666667;0,333333333;1,17;0,02;0,03;0,01;0,27;0,37
GANNETT CO INC (Gannett SpinCo Inc prior to 06/2015) (De-listed 11/2019);23821;15391;36473H10;GCI;31/12/2018;5;5;1;1;0,2;1,07;0,12;0,01;0,12;0,58;1,39
GENERAL DYNAMICS CORP;5046;12052;36955010;GD;31/12/2018;5;2;3;0,4;0,6;0,27;0,13;0,28;0,22;0,74;2,87
GILEAD SCIENCES INC;24856;77274;37555810;GILD;31/12/2018;4;3;3;0,75;0,75;0,27;0,16;0,26;0,18;0,66;1,97
CORNING INC;3532;22293;21935010;GLW;31/12/2018;8;6;5;0,75;0,625;0,5;0,11;0,08;0,1;0,5;0,99
GENWORTH FINANCIAL INC;158354;90162;37247D10;GNW;31/12/2018;5;4;5;0,8;1;5,35;0,01;0,01;0,04;0,86;6,97
GENUINE PARTS CO;5125;46674;37246010;GPC;31/12/2018;6;5;5;0,833333333;0,833333333;0,26;0,11;0,22;0,17;0,73;2,67
GOLDMAN SACHS GROUP INC;114628;86868;38141G10;GS;31/12/2018;4;4;1;1;0,25;1,24;0,03;0,14;0,05;0,9;9,31
GOODYEAR TIRE & RUBBER CO;5234;16432;38255010;GT;31/12/2018;6;5;2;0,833333333;0,333333333;1,05;0,11;0,14;0,11;0,7;2,43
WW GRAINGER INC;5256;52695;38480210;GWW;31/12/2018;5;5;4;1;0,8;0,13;0,27;0,42;0,33;0,64;1,97
HALLIBURTON CO;5439;23819;40621610;HAL;31/12/2018;5;4;5;0,8;1;0,41;0,17;0,18;0,14;0,63;1,73
HASBRO INC;5518;52978;41805610;HAS;31/12/2018;5;5;5;1;1;0,17;0,15;0,12;0,17;0,67;2
HUNTINGTON BANCSHARES INC;5786;42906;44615010;HBAN;31/12/2018;4;4;4;1;1;0,8;0,02;0,14;0,08;0,9;8,8
HESS CORP (Amerada Hess prior to 05/2006);1380;28484;42809H10;HES;31/12/2018;4;4;2;1;0,5;0,8;0,11;-0,03;0,04;0,49;1,03
HARTFORD FINANCIAL SERVICES GROUP INC;61739;82775;41651510;HIG;31/12/2018;6;5;6;0,833333333;1;0,8;0,02;0,11;0,1;0,79;3,75
HONEYWELL INTERNATIONAL INC (AlliedSignal Inc prior to 01/2000);1300;10145;43851610;HON;31/12/2018;6;6;3;1;0,5;0,21;0,15;0,34;0,22;0,68;2,17
HERSHEY CO (THE);5597;16600;42786610;HSY;31/12/2018;9;9;4;1;0,444444444;0,07;0,31;0,93;0,37;0,82;4,5
HUMANA INC;27914;48653;44485910;HUM;31/12/2018;4;2;2;0,5;0,5;0,26;0,14;0,17;0,2;0,6;1,5
INTERNATIONAL BUSINESS MACHINES (IBM) CORP;6066;12490;45920010;IBM;31/12/2018;4;3;4;0,75;1;0,2;0,14;0,45;0,2;0,86;6,34
INTERCONTINENTAL EXCHANGE INC (IntercontinentalExchange Group Inc prior to 05/2014);163610;90993;45866F10;ICE;31/12/2018;4;4;2;1;0,5;0,46;0,04;0,1;0,11;0,81;4,39
INTERNATIONAL FLAVORS & FRAGRANCES INC;6078;40272;45950610;IFF;31/12/2018;5;5;5;1;1;0,47;0,1;0,08;0,1;0,52;1,12
INTEL CORP;6008;59328;45814010;INTC;31/12/2018;4;3;2;0,75;0,5;0,36;0,26;0,28;0,24;0,41;0,71
INTERPUBLIC GROUP OF COMPANIES INC;6136;53065;46069010;IPG;31/12/2018;7;5;7;0,714285714;1;0,33;0,09;0,24;0,22;0,83;5,44
INTUITIVE SURGICAL INC;136725;88352;46120E60;ISRG;31/12/2018;4;2;1;0,5;0,25;0,12;0,2;0,2;0,22;0,15;0,17
ILLINOIS TOOL WORKS INC (ITW);5878;56573;45230810;ITW;31/12/2018;5;5;2;1;0,4;0,1;0,26;0,59;0,3;0,78;3,57
JOHNSON & JOHNSON;6266;22111;47816010;JNJ;31/12/2018;4;4;1;1;0,25;0,2;0,18;0,23;0,23;0,61;1,56
JUNIPER NETWORKS INC;121718;86979;48203R10;JNPR;31/12/2018;3;2;2;0,666666667;0,666666667;0,52;0,08;0,12;0,09;0,48;0,94
JPMORGAN CHASE & CO;2968;47896;46625H10;JPM;31/12/2018;5;5;5;1;1;0,74;0,03;0,14;0,08;0,9;9,22
KELLANOVA CO (Kellogg Co prior to 10/2023);6375;26825;48783610;K;31/12/2018;5;5;2;1;0,4;0,17;0,14;0,45;0,17;0,82;5,62
KEYCORP;9783;64995;49326710;KEY;31/12/2018;4;3;2;0,75;0,5;0,94;0,02;0,13;0,11;0,89;7,95
KIMBERLY-CLARK CORP;6435;17750;49436810;KMB;31/12/2018;5;3;5;0,6;1;;0,27;;0,41;1;-50,52
KINDER MORGAN INC (Kinder Morgan Holdco LLC prior to 02/2011);6310;12558;49456B10;KMI;31/12/2018;5;5;4;1;0,8;0,97;0,08;0,05;0,06;0,55;1,3
COCA-COLA CO;3144;11308;19121610;KO;31/12/2018;5;5;2;1;0,4;0,09;0,13;0,35;0,16;0,77;3,78
LOEWS CORP;6781;26710;54042410;L;31/12/2018;7;1;2;0,142857143;0,285714286;1,36;0,03;0,03;0,04;0,73;3,07
LEGGETT & PLATT INC;6649;60943;52466010;LEG;31/12/2018;7;4;5;0,571428571;0,714285714;0,27;0,17;0,24;0,2;0,66;1,92
ATYR PHARMA INC;23627;15378;00212010;LIFE;31/12/2018;3;3;1;1;0,333333333;2,22;-0,43;-0,71;-0,47;0,36;0,57
ELI LILLY & CO;6730;50876;53245710;LLY;31/12/2018;6;4;3;0,666666667;0,5;0,08;0,17;0,3;0,26;0,75;3,36
LOCKHEED MARTIN CORP;6774;21178;53983010;LMT;31/12/2018;5;5;4;1;0,8;0,02;0,19;;0,51;0,97;31,15
LINCOLN NATIONAL CORP;6742;49015;53418710;LNC;31/12/2018;5;2;1;0,4;0,2;1,47;0,01;0,09;0,1;0,95;19,78
SOUTHWEST AIRLINES CO;9882;58683;84474110;LUV;31/12/2018;5;3;5;0,6;1;0,48;0,17;0,2;0,23;0,62;1,66
MASTERCARD INC;160225;91233;57636Q10;MA;31/12/2018;6;6;2;1;0,333333333;0,03;0,38;1,06;0,74;0,78;3,59
MARRIOTT INTERNATIONAL INC;28930;85913;57190320;MAR;31/12/2018;5;4;5;0,8;1;0,07;0,12;0,54;0,21;0,91;9,65
MASCO CORP;7085;34032;57459910;MAS;31/12/2018;8;7;7;0,875;0,875;;0,26;;0,43;0,99;-47,96
MATTEL INC;7116;39538;57708110;MAT;31/12/2018;5;4;4;0,8;0,8;0,21;0,04;-0,52;-0,01;0,87;6,98
MOODYS CORP;139665;48506;61536910;MCO;31/12/2018;10;9;8;0,9;0,8;0,03;0,23;;0,34;0,93;19,29
METLIFE INC;133768;87842;59156R10;MET;31/12/2018;7;7;4;1;0,571428571;1,39;0,01;0,09;0,1;0,92;11,3
MARSH & MCLENNAN COMPANIES INC;7065;45751;57174810;MMC;31/12/2018;5;5;4;1;0,8;0,2;0,16;0,21;0,23;0,65;1,86
3M CO (Minnesota Mining & Manufacturing Co prior to 02/2002);7435;22592;88579Y10;MMM;31/12/2018;5;5;4;1;0,8;0,09;0,25;0,49;0,31;0,73;2,72
MONSTER BEVERAGE CORP (Hansen Natural Corp prior to 12/2011);24316;88031;61174X10;MNST;31/12/2018;4;1;2;0,25;0,5;0,13;0,29;0,26;0,34;0,2;0,25
ALTRIA GROUP INC (Philip Morris Cos prior to 01/2003);8543;13901;02209S10;MO;31/12/2018;5;4;2;0,8;0,4;0,22;0,2;0,34;0,28;0,73;2,76
MOSAIC CO;162129;90386;61945C10;MOS;31/12/2018;5;4;2;0,8;0,4;1,02;0,1;0,04;0,07;0,47;0,92
MARATHON PETROLEUM CORP;186989;12872;56585A10;MPC;31/12/2018;8;8;4;1;0,5;1;0,11;0,1;0,12;0,52;1,36
MERCK & CO INC (Schering-Plough Corp prior to 11/2009);7257;22752;58933Y10;MRK;31/12/2018;4;4;2;1;0,5;0,14;0,16;0,19;0,16;0,67;2,09
MORGAN STANLEY (Morgan Stanley Dean Witter & Co prior to 07/2002);12124;69032;61744644;MS;31/12/2018;4;4;3;1;0,75;1,06;0,03;0,12;0,05;0,9;9,61
MOTOROLA SOLUTIONS INC;7585;22779;62007630;MSI;31/12/2018;3;3;3;1;1;;0,21;;0,44;1,14;-8,26
M&T BANK CORP;4699;35554;55261F10;MTB;31/12/2018;5;5;2;1;0,4;0,72;0,03;0,13;0,14;0,87;6,77
MURPHY OIL CORP;7620;28345;62671710;MUR;31/12/2018;4;2;1;0,5;0,25;1,23;0,16;0,09;0,07;0,53;1,21
NOBLE ENERGY INC (Noble Affiliates prior to 05/2002) (De-listed 10/2020);7912;61815;65504410;NBL;31/12/2018;5;3;1;0,6;0,2;1,16;0,1;-0,01;0,01;0,5;1,12
NASDAQ INC (NASDAQ OMX Group Inc prior to 09/2015);149337;90601;63110310;NDAQ;31/12/2018;5;5;4;1;0,8;0,44;0,08;0,07;0,11;0,65;1,88
NEXTERA ENERGY INC (FPL Group Inc prior to 05/2010);4517;24205;65339F10;NEE;31/12/2018;7;7;2;1;0,285714286;0,5;0,08;0,18;0,06;0,63;1,93
NEWMONT CORP (Newmont Goldcorp Corp prior to 01/2020);7881;21207;65163910;NEM;31/12/2018;4;4;3;1;0,75;0,6;0,11;0,03;0,06;0,44;0,88
NETFLIX INC;147579;89393;64110L10;NFLX;31/12/2018;3;1;1;0,333333333;0,333333333;0,04;0,08;0,27;0,13;0,8;3,96
NISOURCE INC (NIPSCO Industries Inc prior to 04/1999);7974;38762;65473P10;NI;31/12/2018;7;7;4;1;0,571428571;0,66;0,07;-0,01;0,07;0,74;2,79
NORTHROP GRUMMAN CORP;7985;24766;66680710;NOC;31/12/2018;7;4;3;0,571428571;0,428571429;0,2;0,13;0,42;0,17;0,78;3,6
NOV INC (National Oilwell Varco Inc prior to 01/2021);63892;84032;63707110;NOV;31/12/2018;5;4;5;0,8;1;1,46;0,05;0;0,01;0,3;0,43
NRG ENERGY INC;135990;90071;62937750;NRG;31/12/2018;7;6;4;0,857142857;0,571428571;;0,09;;0,1;1,11;-9,6
NORFOLK SOUTHERN CORP;7923;64311;65584410;NSC;31/12/2018;5;4;5;0,8;1;0,54;0,14;0,12;0,15;0,58;1,36
NORTHERN TRUST CORP;7982;58246;66585910;NTRS;31/12/2018;5;4;5;0,8;1;0,55;0,03;0,16;0,14;0,92;11,58
NUCOR CORP;8030;34817;67034610;NUE;31/12/2018;8;5;2;0,625;0,25;0,64;0,24;0,25;0,25;0,43;0,79
NEWELL BRANDS INC (Newell Rubbermaid Inc prior to 04/2016);7875;60986;65122910;NWL;31/12/2018;7;5;4;0,714285714;0,571428571;0,8;0,04;-0,57;0,04;0,7;2,37
O-I GLASS INC (Owens-Illinois Inc prior to 12/2019);8215;77157;69076840;OI;31/12/2018;6;6;3;1;0,5;0,33;0,12;0,16;0,12;0,91;11,19
ONEOK INC (WAI Inc prior to 11/1997);8151;25232;68268010;OKE;31/12/2018;4;3;4;0,75;1;0,31;0,13;0,19;0,12;0,64;1,77
OMNICOM GROUP INC;4066;30681;68191910;OMC;31/12/2018;6;5;5;0,833333333;0,833333333;0,18;0,1;0,44;0,28;0,86;8,35
O'REILLY AUTOMOTIVE INC;28180;79103;67103H10;ORLY;31/12/2018;6;3;1;0,5;0,166666667;0,02;0,27;2,21;0,49;0,96;21,57
OCCIDENTAL PETROLEUM CORP;8068;34833;67459910;OXY;31/12/2018;4;4;4;1;1;0,48;0,2;0,19;0,15;0,51;1,06
PITNEY BOWES INC;8606;24459;72447910;PBI;31/12/2018;6;4;4;0,666666667;0,666666667;0,48;0,09;0,44;0,1;0,96;23,94
PACCAR INC;8253;60506;69371810;PCAR;31/12/2018;5;5;5;1;1;0,47;0,16;0,24;0,16;0,66;1,97
PG&E CORP;8264;13688;69331C10;PCG;31/12/2018;4;4;4;1;1;1,29;0,08;-0,33;0,07;0,83;4,97
PUBLIC SERVICE ENTERPRISE GROUP INC;8810;23712;74457310;PEG;31/12/2018;8;8;5;1;0,625;0,77;0,08;0,07;0,08;0,68;2,15
PEPSICO INC;8479;13856;71344810;PEP;31/12/2018;5;5;4;1;0,8;0,12;0,16;0,78;0,22;0,81;4,34
PFIZER INC;8530;21936;71708110;PFE;31/12/2018;6;5;5;0,833333333;0,833333333;0,27;0,13;0,16;0,14;0,6;1,51
PRINCIPAL FINANCIAL GROUP INC;145701;89195;74251V10;PFG;31/12/2018;6;5;1;0,833333333;0,166666667;1;0,01;0,12;0,11;0,95;20,3
PROGRESSIVE CORP (OHIO);13341;64390;74331510;PGR;31/12/2018;4;2;3;0,5;0,75;0,29;0,08;0,26;0,24;0,76;3,28
PULTEGROUP INC;8823;54148;74586710;PHM;31/12/2018;6;6;5;1;0,833333333;0,67;0,14;0,23;0,17;0,53;1,11
PARKLAND CORP (Parkland Fuel Corp prior to 05/2020);4145;42200;71404610;PKI;31/12/2018;4;4;0;1;0;0,32;0,09;0,08;0,09;0,57;1,31
PHILIP MORRIS INTERNATIONAL INC;179621;92602;71817210;PM;31/12/2018;6;5;1;0,833333333;0,166666667;;0,3;;0,55;1,27;-4,06
PNC FINANCIAL SERVICES GROUP INC;8245;60442;69347510;PNC;31/12/2018;6;4;2;0,666666667;0,333333333;0,86;0,02;0,12;0,08;0,88;7,01
PINNACLE WEST CAPITAL CORP;1075;27991;72348410;PNW;31/12/2018;6;4;2;0,666666667;0,333333333;0,76;0,08;0,07;0,08;0,7;2,36
PPG INDUSTRIES INC;8247;22509;69350610;PPG;31/12/2018;5;5;5;1;1;0,21;0,15;0,24;0,19;0,7;2,44
PPL CORP;8455;22517;69351T10;PPL;31/12/2018;6;6;5;1;0,833333333;0,71;0,09;0,13;0,09;0,73;2,72
PRUDENTIAL FINANCIAL INC;143356;89258;74432010;PRU;31/12/2018;3;3;3;1;1;1,45;0,01;0,08;0,08;0,94;15,76
QUANTA SERVICES INC;66446;85792;74762E10;PWR;31/12/2018;3;3;3;1;1;0,9;0,12;0,08;0,13;0,49;0,96
PIONEER NATURAL RESOURCES CO (De-listed 05/2024);14359;75241;72378710;PXD;31/12/2018;5;5;3;1;0,6;0,59;0,2;0,08;0,11;0,32;0,48
QEP RESOURCES INC (De-listed 03/2021);154357;93422;74733V10;QEP;31/12/2018;6;6;6;1;1;2,27;-0,05;-0,28;-0,22;0,55;1,22
RYDER SYSTEM INC;9299;27633;78354910;R;31/12/2018;5;2;5;0,4;1;1,65;0,16;0,07;0,07;0,78;3,48
REGIONS FINANCIAL CORP;4674;35044;7591EP10;RF;31/12/2018;6;5;5;0,833333333;0,833333333;1,04;0,02;0,11;0,11;0,88;7,33
